,Nameresto,Arrondissement,Categories,Tagline,Timelunch,price,adress,zipcode,Telephone,photos,Arr,Nameresto1
0,Colline d’Asie,18ème,"fast-good, insolite, world",Cantine d'Asie,Midi & Soir,9.5,21 rue André del Sarte,75018,0155791682,https://www.lespetitestables.com/wp-content/uploads/COLLINE-D-ASIE-vue-de-la-salle-970x728.jpg,18,Colline d’Asie
1,Burger & Fries,2ème,"fast-good, world",Burgers américains,Midi & Soir,7.95,1 boulevard de Bonne Nouvelle,75002,0142362279,https://www.lespetitestables.com/wp-content/uploads/Burger-and-Fries-hamburger-970x647.jpg,2,Burger & Fries
2,KIEZ Biergarten,18ème,"fast-good, insolite, world",Un biergarten à Paris,Midi & Soir,13.0,24 RUE VAUVENARGUES,75018,+33146277846,https://www.lespetitestables.com/wp-content/uploads/KIEZ-Biergarten-Bar-970x647.jpg,18,KIEZ Biergarten
3,Coin-Op Table,9ème,"fast-good, insolite, world",Fusion Franco-Taiwanaise,Midi,12.0,17 rue de Maubeuge,75009,Na,https://www.lespetitestables.com/wp-content/uploads/COIN-OP-TABLE-Jeux-d-arcades-970x647.jpg,9,Coin-Op Table
4,Fulano,18ème,"fast-good, world",Une Cantine Argentine,Midi & Soir,12.0,« Cantina Argentina »,75018,0183914005,https://www.lespetitestables.com/wp-content/uploads/FULANO_Cantina_Argentina-formule-970x647.jpg,18,Fulano
5,Iemanjá,3ème,"fast-good, insolite, world",L’unique tapiocaria Parisienne,Midi & Soir,12.9,12 Rue Dupetit-Thouars,75003,0664927893,https://www.lespetitestables.com/wp-content/uploads/Iemanja-portrait-970x647.jpg,3,Iemanjá
6,Levantine,10ème,"fast-good, insolite, world",Le houmous bar du canal !,Midi & Soir,12.0,36 rue Bichat,75010,0183561856,https://www.lespetitestables.com/wp-content/uploads/Levantine-plat-970x647.jpg,10,Levantine
7,Les bariolés de Maud,9ème,"design, fast-good, insolite",Une création unique,Midi & Soir,10.0,12 rue Buffault,75009,0973170168,https://www.lespetitestables.com/wp-content/uploads/Les-Barioles-de-Maud-Les-Petites-Tables-barioles-sales-970x647.jpg,9,Les bariolés de Maud
8,Café Rendez-Vous,1er,"design, fast-good, romantique, tradi",Le déjeuner du marché,Midi & Soir,12.0,12 rue des Prêcheurs,75001,0140139060,https://www.lespetitestables.com/wp-content/uploads/Cafe-Rendez-Vous-Les-Petites-Tables-plat-2-970x647.jpg,1,Café Rendez-Vous
9,Bouillon Pigalle,18ème,"design, tradi",Tout est bon dans le bouillon,Midi & Soir,12.0,22 Boulevard de Clichy,75018,0142596931,https://www.lespetitestables.com/wp-content/uploads/Bouillon-Pigalle-dejeuner-970x647.jpg,18,Bouillon Pigalle
10,Fuumi,2ème,"fast-good, world",Découvrez les Sushis-Burritos,Midi & Soir,13.0,28 rue d’aboukir,75002,0171202321,https://www.lespetitestables.com/wp-content/uploads/Fuuumi-Sushi-Burrito-Les-Petites-Tables-interieur-du-restaurant-970x647.jpg,2,Fuumi
